Year,Service Category,Service Type,Service,Country,Price 2017 USD,Percent of US Price
2017,Drug,Administered Drugs,Herceptin (Trastuzumab) ,Germany,47.5,0.225332068
2017,Drug,Prescription Drugs,Xeljanz (Tofacitinib Citrate) ,Germany,"2,544.8",0.6597874
2017,Drug,Prescription Drugs,Humira Pen (Adalimumab) ,Germany,"1,565.0",0.349252399
2017,Drug,Prescription Drugs,Victoza 3-Pak (Liraglutide) ,Germany,273.4,0.356962576
2017,Drug,Prescription Drugs,Xarelto (Rivaroxaban),Germany,107.1,0.28269569
2017,Drug,Prescription Drugs,Kalydeco (Ivacaftor) ,Germany,"17,781.1",0.744788961
2017,Drug,Prescription Drugs,Enbrel (Etanercept) ,Germany,"2,269.9",0.489739302
2017,Drug,Prescription Drugs,Harvoni (Ledipasvir/Sofosbuvir) ,Germany,"14,565.6",0.460674299
2017,Medical,Hospital Admissions,Inpatient Appendectomy ,UK,"5,097.6",0.336364236
2017,Medical,Hospital Admissions,Bypass Surgery ,UK,"24,440.4",0.312921233
2017,Medical,Hospital Admissions,C Section,UK,"7,080.8",0.47098244
2017,Medical,Hospital Admissions,Normal Delivery,UK,"9,008.6",0.80671174
2017,Medical,Hospital Admissions,Angioplasty,UK,"11,661.3",0.361826306
2017,Medical,Hospital Admissions,Knee Replacement,UK,"12,659.0",0.427912991
2017,Medical,Hospital Admissions,Hip Replacement,UK,"12,175.7",0.374358935
2017,Medical,Physician/Outpatient Services,OP Appendectomy ,UK,"3,049.7",0.234192136
2017,Medical,Physician/Outpatient Services,Cataract Surgery (single visit),UK,,
2017,Medical,Physician/Outpatient Services,Angiogram,UK,610.2,0.481610103
2017,Medical,Physician/Outpatient Services,Cardiac Catheterization,UK,"2,446.2",0.34511851
2017,Medical,Physician/Outpatient Services,Colonscopy,UK,"1,935.9",0.673590814
2017,Medical,Physician/Outpatient Services,CT  Scan Abdomen,UK,472.5,0.429545455
2017,Medical,Physician/Outpatient Services,MRI Scan,UK,452.3,0.315817039
2017,Drug,Administered Drugs,Immune globulin injection,UK,27.4,0.282253913
2017,Drug,Administered Drugs,Factor VIII,UK,0.9,0.36201581
2017,Drug,Administered Drugs,Keytruda (Pembrolizumab) ,UK,33.9,0.387914475
2017,Drug,Administered Drugs,Herceptin (Trastuzumab) ,UK,132.7,0.629395161
2017,Drug,Prescription Drugs,Xeljanz (Tofacitinib Citrate) ,UK,890.1,0.230785248
2017,Drug,Prescription Drugs,Humira Pen (Adalimumab) ,UK,856.0,0.191038607
2017,Drug,Prescription Drugs,Victoza 3-Pak (Liraglutide) ,UK,151.9,0.198249086
2017,Drug,Prescription Drugs,Xarelto (Rivaroxaban),UK,65.0,0.171546174
2017,Drug,Prescription Drugs,Kalydeco (Ivacaftor) ,UK,"18,060.0",0.756471475
2017,Drug,Prescription Drugs,Enbrel (Etanercept) ,UK,922.4,0.198996764
2017,Drug,Prescription Drugs,Harvoni (Ledipasvir/Sofosbuvir) ,UK,"16,761.4",0.530121946
